🇨🇳第一线路,#genre#
河北卫视,http://171.109.225.104:8181/tsfile/live/1045_1.m3u8
天津卫视,http://171.109.225.104:8181/tsfile/live/1044_1.m3u8
黑龙江卫视,http://171.109.225.104:8181/tsfile/live/1040_1.m3u8
山东卫视,http://171.109.225.104:8181/tsfile/live/0131_1.m3u8
江西卫视,http://171.109.225.104:8181/tsfile/live/0138_1.m3u8
安徽卫视,http://171.109.225.104:8181/tsfile/live/0130_1.m3u8
辽宁卫视,http://171.109.225.104:8181/tsfile/live/0121_1.m3u8
甘肃卫视,http://171.109.225.104:8181/tsfile/live/1032_1.m3u8
贵州卫视,http://171.109.225.104:8181/tsfile/live/1058_1.m3u8
东南卫视,http://171.109.225.104:8181/tsfile/live/1029_1.m3u8
新疆卫视,http://171.109.225.104:8181/tsfile/live/0110_1.m3u8
延边卫视,http://171.109.225.104:8181/tsfile/live/1087_1.m3u8
吉林卫视,http://171.109.225.104:8181/tsfile/live/0116_1.m3u8
兵团卫视,http://171.109.225.104:8181/tsfile/live/0115_1.m3u8
南方卫视,http://171.109.225.104:8181/tsfile/live/1084_1.m3u8
旅游卫视,http://171.109.225.104:8181/tsfile/live/0114_1.m3u8
内蒙古卫视,http://171.109.225.104:8181/tsfile/live/0109_1.m3u8
青海卫视,http://171.109.225.104:8181/tsfile/live/0140_1.m3u8
陕西卫视,http://171.109.225.104:8181/tsfile/live/0136_1.m3u8
重庆卫视,http://171.109.225.104:8181/tsfile/live/0142_1.m3u8
山东教育,http://171.109.225.104:8181/tsfile/live/1078_1.m3u8
甘肃卫视,http://171.109.225.104:8181/tsfile/live/0141_1.m3u8
四川卫视,http://171.109.225.104:8181/tsfile/live/0123_1.m3u8
山西卫视,http://171.109.225.104:8181/tsfile/live/0118_1.m3u8
吉林卫视 ,http://171.109.225.104:8181/tsfile/live/1024_1.m3u8
广西卫视,http://171.109.225.104:8181/tsfile/live/0113_1.m3u8
